data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Puglia,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-25,Puglia,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-26,Puglia,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-27,Puglia,1,0,1,0,1,1,1,0,0,1,0,0.0,0,0.0,0
2020-02-28,Puglia,1,0,1,2,3,2,2,0,0,3,242,0.0,242,0.0,0
2020-02-29,Puglia,1,0,1,2,3,0,0,0,0,3,252,0.0,10,0.0,0
2020-03-01,Puglia,1,0,1,2,3,0,0,0,0,3,262,0.0,10,0.0,0
2020-03-02,Puglia,2,0,2,2,4,1,1,0,0,4,278,0.0,16,0.0,0
2020-03-03,Puglia,2,0,2,4,6,2,2,0,0,6,298,0.0,20,0.0,0
2020-03-04,Puglia,4,0,4,3,7,1,3,1,1,9,322,0.0,24,0.0,1
2020-03-05,Puglia,5,1,6,6,12,5,5,1,1,14,359,0.0,37,0.0,0
2020-03-06,Puglia,5,1,6,9,15,3,3,1,1,17,395,0.0,36,0.0,0
2020-03-07,Puglia,9,2,11,12,23,8,9,1,2,26,395,0.0,0,0.0,1
2020-03-08,Puglia,17,3,20,16,36,13,14,1,3,40,627,0.0,232,0.0,1
2020-03-09,Puglia,20,6,26,20,46,10,10,1,3,50,685,0.0,58,0.0,0
2020-03-10,Puglia,28,6,34,21,55,9,9,1,3,59,747,0.0,62,0.0,0
2020-03-11,Puglia,38,4,42,29,71,16,18,1,5,77,909,0.0,162,0.0,2
2020-03-12,Puglia,58,2,60,38,98,27,27,1,5,104,1269,0.0,360,0.0,0
