data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati,nuovi_tamponi,nuovi_casi_testati,nuovi_deceduti
2020-02-24,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-25,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-26,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-27,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-28,Basilicata,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0
2020-02-29,Basilicata,0,0,0,0,0,0,0,0,0,0,32,0.0,32,0.0,0
2020-03-01,Basilicata,0,0,0,0,0,0,0,0,0,0,39,0.0,7,0.0,0
2020-03-02,Basilicata,0,0,0,0,0,0,0,0,0,0,39,0.0,0,0.0,0
2020-03-03,Basilicata,0,0,0,1,1,1,1,0,0,1,42,0.0,3,0.0,0
2020-03-04,Basilicata,0,0,0,1,1,0,0,0,0,1,48,0.0,6,0.0,0
2020-03-05,Basilicata,0,0,0,1,1,0,0,0,0,1,54,0.0,6,0.0,0
2020-03-06,Basilicata,1,0,1,2,3,2,2,0,0,3,63,0.0,9,0.0,0
2020-03-07,Basilicata,1,0,1,2,3,0,0,0,0,3,75,0.0,12,0.0,0
2020-03-08,Basilicata,2,0,2,2,4,1,1,0,0,4,123,0.0,48,0.0,0
2020-03-09,Basilicata,2,0,2,3,5,1,1,0,0,5,135,0.0,12,0.0,0
2020-03-10,Basilicata,2,0,2,5,7,2,2,0,0,7,148,0.0,13,0.0,0
2020-03-11,Basilicata,1,1,2,6,8,1,1,0,0,8,155,0.0,7,0.0,0
2020-03-12,Basilicata,1,1,2,6,8,0,0,0,0,8,155,0.0,0,0.0,0
2020-03-13,Basilicata,1,1,2,8,10,2,2,0,0,10,155,0.0,0,0.0,0
2020-03-14,Basilicata,0,2,2,8,10,0,0,0,0,10,155,0.0,0,0.0,0
2020-03-15,Basilicata,0,2,2,9,11,1,1,0,0,11,208,0.0,53,0.0,0
2020-03-16,Basilicata,1,2,3,9,12,1,1,0,0,12,230,0.0,22,0.0,0
2020-03-17,Basilicata,5,2,7,13,20,8,8,0,0,20,262,0.0,32,0.0,0
2020-03-18,Basilicata,9,2,11,16,27,7,7,0,0,27,262,0.0,0,0.0,0
2020-03-19,Basilicata,8,5,13,24,37,10,10,0,0,37,353,0.0,91,0.0,0
2020-03-20,Basilicata,8,5,13,39,52,15,15,0,0,52,443,0.0,90,0.0,0
2020-03-21,Basilicata,12,7,19,47,66,14,14,0,0,66,522,0.0,79,0.0,0
2020-03-22,Basilicata,13,10,23,58,81,15,15,0,0,81,643,0.0,121,0.0,0
2020-03-23,Basilicata,15,12,27,62,89,8,9,0,1,90,696,0.0,53,0.0,1
2020-03-24,Basilicata,14,12,26,65,91,2,2,0,1,92,744,0.0,48,0.0,0
2020-03-25,Basilicata,20,14,34,78,112,21,21,0,1,113,857,0.0,113,0.0,0
2020-03-26,Basilicata,22,16,38,95,133,21,21,0,1,134,1046,0.0,189,0.0,0
